"'burbs, The (1989)",2.7934782608695654,2.962085308056872
10 Things I Hate About You (1999),3.646551724137931,3.3119658119658117
101 Dalmatians (1961),3.7914438502673797,3.5
101 Dalmatians (1996),3.24,2.9112149532710285
12 Angry Men (1957),4.184397163120567,4.328421052631579
"13th Warrior, The (1999)",3.112,3.168
2 Days in the Valley (1996),3.488888888888889,3.2448132780082988
"20,000 Leagues Under the Sea (1954)",3.670103092783505,3.709205020920502
2001: A Space Odyssey (1968),3.825581395348837,4.129737609329447
2010 (1984),3.4468085106382977,3.41371158392435
28 Days (2000),3.2094240837696337,2.977707006369427
"39 Steps, The (1935)",3.965517241379312,4.107692307692306
54 (1998),2.7017543859649122,2.782178217821781
"7th Voyage of Sinbad, The (1958)",3.4090909090909087,3.658878504672897
8MM (1999),2.90625,2.8509615384615383
About Last Night... (1986),3.1886792452830184,3.140909090909091
"Absent Minded Professor, The (1961)",3.4693877551020407,3.4468085106382977
Absolute Power (1997),3.469135802469136,3.3277591973244145
"Abyss, The (1989)",3.6592356687898087,3.689507494646681
Ace Ventura: Pet Detective (1994),3.0,3.1979166666666665
Ace Ventura: When Nature Calls (1995),2.269662921348315,2.543333333333333
Addams Family Values (1993),3.0,2.878531073446328
"Addams Family, The (1991)",3.186170212765957,3.1634980988593155
Adventures in Babysitting (1987),3.45578231292517,3.2081218274111682
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",3.3085106382978724,3.4023210831721467
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.989071038251366,3.6888111888111887
"Adventures of Robin Hood, The (1938)",4.166666666666667,3.9183673469387763
"African Queen, The (1951)",4.324232081911264,4.223821989528797
"Age of Innocence, The (1993)",3.827067669172932,3.3395061728395063
Agnes of God (1985),3.5348837209302326,3.2448979591836733
Air America (1990),2.8235294117647056,2.741176470588236
Air Force One (1997),3.6995884773662553,3.5558223289315727
Airplane II: The Sequel (1982),2.90625,2.9956709956709955
Airplane! (1980),3.6565656565656566,4.064419475655432
Akira (1988),3.511111111111111,3.98034398034398
Aladdin (1992),3.8571428571428568,3.7564935064935066
Alice in Wonderland (1951),3.7058823529411766,3.6923076923076934
Alien (1979),3.8882521489971347,4.216119402985076
Alien Nation (1988),3.433333333333333,3.1959459459459465
Alien: Resurrection (1997),2.70873786407767,2.997041420118343
Aliens (1986),3.8020833333333335,4.18668407310705
Alien³ (1992),3.0082644628099167,3.0422885572139298
Alive (1993),3.4693877551020407,3.376865671641791
All About Eve (1950),4.3630573248407645,4.186991869918699
All About My Mother (Todo Sobre Mi Madre) (1999),4.333333333333333,3.944
All Quiet on the Western Front (1930),3.9574468085106393,4.244343891402715
All That Jazz (1979),4.0618556701030935,3.7181818181818183
Almost Famous (2000),4.2202166064981945,4.228730822873082
Amadeus (1984),4.346733668341709,4.213414634146342
American Beauty (1999),4.238900634249472,4.347300564061241
American Gigolo (1980),3.3375,3.1069767441860465
American Graffiti (1973),3.9404761904761916,4.055555555555555
American History X (1998),4.181818181818182,4.2407407407407405
American Movie (1999),4.028985507246377,4.008849557522123
American Pie (1999),3.5397923875432524,3.7545454545454544
