0,1,One Flew Over the Cuckoo's Nest (1975),5
28501,1,Pocahontas (1995),5
37204,1,"Last Days of Disco, The (1998)",5
37339,1,Cinderella (1950),5
23270,1,Back to the Future (1985),5
19503,1,Awakenings (1990),5
25853,1,Schindler's List (1993),5
50759,1,Dumbo (1941),5
52255,1,Saving Private Ryan (1998),5
43703,1,Rain Man (1988),5
40375,1,Apollo 13 (1995),5
41626,1,Toy Story (1995),5
49748,1,Mary Poppins (1964),5
4201,1,"Bug's Life, A (1998)",5
12759,1,Beauty and the Beast (1991),5
8222,1,Ben-Hur (1959),5
8926,1,"Christmas Story, A (1983)",5
15859,1,"Sound of Music, The (1965)",5
54908,1,"Secret Garden, The (1993)",4
55246,1,Toy Story 2 (1999),4
51327,1,To Kill a Mockingbird (1962),4
56831,1,Fargo (1996),4
59344,1,Dead Poets Society (1989),4
45033,1,Driving Miss Daisy (1989),4
45685,1,Run Lola Run (Lola rennt) (1998),4
46757,1,Star Wars: Episode IV - A New Hope (1977),4
14006,1,Miracle on 34th Street (1947),4
13819,1,Gigi (1958),4
14386,1,Ferris Bueller's Day Off (1986),4
11041,1,"Wizard of Oz, The (1939)",4
